Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
10498,https://github.com/ror-community/ror-updates/issues/10498,Add a new organization to ROR: Laboratoire de Génétique Médicale ,Laboratoire de Génétique Médicale,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10498,https://github.com/ror-community/ror-updates/issues/10498,Add a new organization to ROR: Laboratoire de Génétique Médicale ,University of Strasbourg,https://ror.org/00pg6eq24,,Laboratoire de Génétique Médicale,Child,Release
10498,https://github.com/ror-community/ror-updates/issues/10498,Add a new organization to ROR: Laboratoire de Génétique Médicale ,Laboratoire de Génétique Médicale,,https://ror.org/02vjkv261,Inserm,Parent,Production
10498,https://github.com/ror-community/ror-updates/issues/10498,Add a new organization to ROR: Laboratoire de Génétique Médicale ,Inserm,https://ror.org/02vjkv261,,Laboratoire de Génétique Médicale,Child,Release
10499,https://github.com/ror-community/ror-updates/issues/10499,Add a new organization to ROR: Laboratoire de pharmacologie et de toxicologie neurocardiovasculaire,Laboratoire de pharmacologie et de toxicologie neurocardiovasculaire,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10499,https://github.com/ror-community/ror-updates/issues/10499,Add a new organization to ROR: Laboratoire de pharmacologie et de toxicologie neurocardiovasculaire,University of Strasbourg,https://ror.org/00pg6eq24,,Laboratoire de pharmacologie et de toxicologie neurocardiovasculaire,Child,Release
10500,https://github.com/ror-community/ror-updates/issues/10500,Add a new organization to ROR: Centre de recherches en philosophie allemande et contemporaine,Centre de recherches en philosophie allemande et contemporaine,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10500,https://github.com/ror-community/ror-updates/issues/10500,Add a new organization to ROR: Centre de recherches en philosophie allemande et contemporaine,University of Strasbourg,https://ror.org/00pg6eq24,,Centre de recherches en philosophie allemande et contemporaine,Child,Release
10501,https://github.com/ror-community/ror-updates/issues/10501,Add a new organization to ROR: Configurations littéraires,Configurations littéraires,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10501,https://github.com/ror-community/ror-updates/issues/10501,Add a new organization to ROR: Configurations littéraires,University of Strasbourg,https://ror.org/00pg6eq24,,Configurations littéraires,Child,Release
10502,https://github.com/ror-community/ror-updates/issues/10502,Add a new organization to ROR: Culture et histoire dans l'espace roman,Culture et histoire dans l'espace roman,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10502,https://github.com/ror-community/ror-updates/issues/10502,Add a new organization to ROR: Culture et histoire dans l'espace roman,University of Strasbourg,https://ror.org/00pg6eq24,,Culture et histoire dans l'espace roman,Child,Release
10503,https://github.com/ror-community/ror-updates/issues/10503,"Add a new organization to ROR: Groupe d'études orientales, slaves et néo-helléniques ","Groupe d'études orientales, slaves et néo-helléniques",,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10503,https://github.com/ror-community/ror-updates/issues/10503,"Add a new organization to ROR: Groupe d'études orientales, slaves et néo-helléniques ",University of Strasbourg,https://ror.org/00pg6eq24,,"Groupe d'études orientales, slaves et néo-helléniques",Child,Release
10504,https://github.com/ror-community/ror-updates/issues/10504,Add a new organization to ROR: Humans and management in society ,Humans and management in society,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10504,https://github.com/ror-community/ror-updates/issues/10504,Add a new organization to ROR: Humans and management in society ,University of Strasbourg,https://ror.org/00pg6eq24,,Humans and management in society,Child,Release
10505,https://github.com/ror-community/ror-updates/issues/10505,Add a new organization to ROR: Laboratoire interdisciplinaire en études culturelles ,Laboratoire interdisciplinaire en études culturelles,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10505,https://github.com/ror-community/ror-updates/issues/10505,Add a new organization to ROR: Laboratoire interdisciplinaire en études culturelles ,University of Strasbourg,https://ror.org/00pg6eq24,,Laboratoire interdisciplinaire en études culturelles,Child,Release
10505,https://github.com/ror-community/ror-updates/issues/10505,Add a new organization to ROR: Laboratoire interdisciplinaire en études culturelles ,Laboratoire interdisciplinaire en études culturelles,,https://ror.org/02feahw73,French National Centre for Scientific Research,Parent,Production
10505,https://github.com/ror-community/ror-updates/issues/10505,Add a new organization to ROR: Laboratoire interdisciplinaire en études culturelles ,French National Centre for Scientific Research,https://ror.org/02feahw73,,Laboratoire interdisciplinaire en études culturelles,Child,Release
